,doc_url,name,bulletin,topic,commission
880_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/74-4-Iniciativa-Convencional-Constituyente-de-la-cc-Natividad-Llanquileo-y-otros.pdf,"Iniciativa Convencional Constituyente sobre derechos de los pueblos y naciones preexistentes a la tierra, territorio, recursos y bienes naturales",Boletín 74-4,Derechos de los pueblos y naciones preexistentes,Comisión de Derechos Fundamentales
871_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/83-1-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre composición y estructura del Senado,Boletín 83-1,Senado,Comisión sobre Sistema Político
873_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/81-1-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre la composición y la estructura de la Cámara de Diputados,Boletín 81-1,Cámara de Diputados,Comisión sobre Sistema Político
875_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/79-2-Iniciativa-del-cc-Alexis-Caiguan-y-otros.pdf,Iniciativa Convencional Constituyente sobre principio de interculturalidad y derechos culturales de los pueblos y naciones preexistentes al Estado y del pueblo tribal afrodescendiente chileno,Boletín 79-2,Interculturalidad y derechos culturales,Comisión sobre Principios Constitucionales
877_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/77-6-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-y-otro.pdf,Iniciativa Convencional Constituyente para consagrar el establecimiento del defensor del pueblo en la propuesta de nueva constitución,Boletín 77-6,Defensor del pueblo,Comisión sobre Sistemas de Justicia
879_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/75-3-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-y-otros.pdf,Iniciativa Convencional Constituyente para consagrar el establecimiento del maritorio en la propuesta de nueva constitución,Boletín 75-3,Maritorio,Comisión sobre Forma de Estado
882_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/72-2-Iniciativa-Convencional-Constituyente-de-la-cc-Elisa-Loncon-y-otros.pdf,Iniciativa Convencional Constituyente sobre Principios Constitucionales,Boletín 72-2,Principios Constitucionales,Comisión sobre Principios Constitucionales
884_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/70-2-Iniciativa-Convencional-Constituyente-de-la-cc-Paulina-Veloso-y-otros-2.pdf,Iniciativa Convencional Constituyente que incorpora principios constitucionales,Boletín 70-2,Principios constitucionales,Comisión sobre Principios Constitucionales
886_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/68-4-Iniciativa-Convencional-Constituyente-del-cc-Cristián-Monckeberg-y-otros.pdf,Iniciativa Convencional Constituyente que establece el derecho a una vivienda digna,Boletín 68-4,Derecho a la vivienda,Comisión de Derechos Fundamentales
888_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/66-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente que establece deberes recíprocos entre los ciudadanos,Boletín 66-2,Deberes ciudadanos,Comisión sobre Principios Constitucionales
890_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/64-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el principio de colaboración social,Boletín 64-2,Colaboración social,Comisión sobre Principios Constitucionales
881_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/73-4-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Jose-Ossandon-y-otro.pdf,Iniciativa Convencional Constituyente sobre cláusulas de armonización y de suspensión de derechos fundamentales,Boletín 73-4,Derechos Fundamentales,Comisión de Derechos Fundamentales
883_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/71-2-Iniciativa-Convencional-Constitutente-de-Maria-Jose-Oyarzun-y-otros.pdf,Iniciativa Convencional Constituyente sobre principios fundamentales,Boletín 71-2,Principios Fundamentales,Comisión sobre Principios Constitucionales
885_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/69-2-Iniciativa-Convencional-Constituyente-del-cc-Luciano-Silva-y-otros.pdf,Iniciativa Convencional Constituyente sobre familia e infancia en la nueva constitución,Boletín 69-2,Familia e infancia,Comisión sobre Principios Constitucionales
887_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/67-2-Iniciativa-Convencional-Constituyente-del-cc-Cristián-Monckeberg-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora principios para la planificación urbana,Boletín 67-2,Planificación urbana,Comisión sobre Principios Constitucionales
889_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/65-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente sobre terrorismo y deber de reparación del Estado,Boletín 65-2,Terrorismo y deberes del Estado,Comisión sobre Principios Constitucionales
892_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/62-5-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora los principios sobre la familia y la responsabilidad,Boletín 62-5,Familia y responsabilidad,Comisión sobre sistemas de Justicia
894_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/60-2-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Baradit-y-otros.pdf,Iniciativa Convencional Constituyente sobre Principios Fundamentales del Estado,Boletín 60-2,Principios del Estado,Comisión sobre Principios Constitucionales
896_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/58-2-Iniciativa-Convencional-Constituyente-de-la-cc-Loreto-Vallejos-y-otros.pdf,Iniciativa Convención Constituyente sobre Principios y Bases generales del Estado,Boletín 58-2,Principios y Bases del Estado,Comisión sobre Principios Constitucionales
898_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/56-5-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldana-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el principio de eco e inter dependencia,Boletín 56-5,Principios de eco e inter dependencia,Comisión sobre Medio Ambiente
900_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/54-2-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldaña-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el principio de buen vivir,Boletín 54-2,Principio de Buen Vivir,Comisión sobre Principios Constitucionales
891_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/63-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente que establece los emblemas nacionales,Boletín 63-2,Emblemas nacionales,Comisión sobre Principios Constitucionales
893_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/61-2-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Cretton-y-otros.pdf,Iniciativa Convencional Constituyente sobre familia y responsabilidad,Boletín 61-2,Familia y Responsabilidad,Comisión sobre Principios Constitucionales
895_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/59-2-Iniciativa-Convencional-Constituyente-de-la-cc-Ericka-Portilla-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora normas generales del Estado,Boletín 59-2,Normas generales del Estado,Comisión sobre Principios Constitucionales
897_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/57-2-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-y-otros.pdf,Iniciativa Convencional Constituyente que establece un Consejo Supremo de Justicia,Boletín 57-2,Consejo Supremo Justicia,Comisión sobre Principios Constitucionales
899_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/55-2-Iniciativa-Convencional-Constituyente-de-la-cc-Ivana-Olivares-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el principio de acción climática justa,Boletín 55-2,Acción climática justa,Comisión de Principios Constitucionales
902_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/52-2-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre pérdida de la ciudadanía,Boletín 52-2,Ciudadanía,Comisión sobre Principios Constitucionales
904_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/50-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre ciudadanía,Boletín 50-2,Ciudadanía,Comisión sobre Principios Constitucionales
906_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/48-4-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que establece derechos civiles a la población migrante,Boletín 48-4,Derechos de las personas migrantes,Comisión de Derechos Fundamentales
908_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/46-1-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que establece sistema electoral,Boletín 46-1,Sistema electoral,Comisión sobre Sistema Político
910_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/44-2-Iniciativa-Convencional-Constituyente-de-la-cc-Claudia-Castro-y-otros.pdf,Iniciativa Convencional Constituyente que establece cargas a los ciudadanos y deber del Estado a conservar el medio ambiente,Boletín 44-2,Conservación Medio Ambiente,Comisiones sobre Principios Constitucionales y de Medio Ambiente
901_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/53-6-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre acción de constitucionalidad por pérdida de la ciudadanía,Boletín 53-6,Ciudadanía,Comisión sobre Sistemas de Justicia
903_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/51-2-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre pérdida del derecho a sufragio,Boletín 51-2,Sufragio,Comisión sobre Principios Constitucionales
905_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/49-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre pérdida de la nacionalidad,Boletín 49-2,Nacionalidad,Comisión sobre Principios Constitucionales
907_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/47-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre nacionalidad,Boletín 47-2,Nacionalidad,Comisión sobre Principios Constitucionales
909_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/45-1-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que establece sufragio universal,Boletín 45-1,Sufragio,Comisión sobre Sistema Político
912_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/42-1-Iniciativa-Convencional-Constituyente-de-la-cc-Pollyana-Rivera-y-otros-1.pdf,"Iniciativa Convencional Constituyente sobre Fuerzas Armadas, de Orden y Seguridad Pública",Boletín 42-1,Fuerzas Armadas,Comisión sobre Sistema Político
914_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/40-2-Iniciativa-Convencional-Constituyente-de-la-cc-Bernardo-de-la-Maza-y-otros.pdf,Iniciativa Convencional Constituyente que establece principios y deberes de la función pública,Boletín 40-2,Función Pública,Comisión sobre Principios Constitucionales
916_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/38-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre las personas en la Constitución,Boletín 38-2,Principios del Estado,Comisión sobre Principios Constitucionales
918_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/36-3-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre estructura del Estado,Boletín 36-3,Estructura del Estado,Comisión sobre Forma de Estado
920_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/34-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre principios de la república democrática,Boletín 34-2,Principios de una república,Comisión sobre Principios Constitucionales
911_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/43-3-Iniciativa-Convencional-Constituyente-de-la-cc-Tammy-Pustilnick-y-otros.pdf,Iniciativa Convencional Constituyente que establece la regionalización del Estado,Boletín 43-3,Regionalización,Comisión de Forma de Estado
913_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/41-6-Iniciativa-Convencional-Constituyente-del-cc-Mauricio-Daza-y-otros-1.pdf,Iniciativa Convencional Constituyente que crea un capítulo relativo a los principios de los sistemas de justicia,Boletín 41-6,Principios Sistema de justicia,Comisión sobre Sistemas de Justicia
915_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/39-2-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-y-otros.pdf,Iniciativa Convencional Constituyente que garantiza la dignidad humana,Boletín 39-2,Dignidad Humana,Comisión sobre Principios Constitucionales
917_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/37-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre rol del Estado,Boletín 37-2,Rol del Estado,Comisión sobre Principios Constitucionales
919_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/35-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora deberes del Estado,Boletín 35-2,Deberes del Estado,Comisión sobre Principios Constitucionales
922_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/32-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el principio de legalidad,Boletín 32-2,Principio de legalidad,Comisión sobre Principios Constitucionales
924_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/30-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que establece y regula el ejercicio de la ciudadanía,Boletín 30-2,Soberanía,Comisión sobre Principios Constitucionales
926_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/28-4-Iniciativa-Convencional-Constituyente-de-la-cc-Aurora-Delgado-y-otros.pdf,Iniciativa Convencional Constituyente que incorpora el derecho a la seguridad social,Boletín 28-4,Seguridad Social,Comisión de Derechos Fundamentales
928_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/26-2-Iniciativa-Convencional-Constituyente-del-cc-Martín-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que fija los emblemas nacionales,Boletín 26-2,Emblemas Nacionales,Comisión sobre Principios Constitucionales
930_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2021/12/24-7-Iniciativa-Convencional-Constituyente-de-la-cc-Cristina-Dorador-y-otros.pdf,"Iniciativa Convencional Constituyente que incorporar el derecho a beneficiarse de los conocimientos y sus aplicaciones, y a gozar de sus beneficios, libertad de investigación y protección contra usos indebidos de los conocimientos y la tecnología",Boletín 24-7,"Derecho, libertad y protección de los conocimientos",Comisión sobre Sistemas de Conocimientos
